party,state,name,keycode,post_date,caption,post_sentiment,post_score_pos,post_score_neu,post_score_neg,comment_count,comment_top_label,comment_positive,comment_neutral,comment_negative,comment_score_pos,comment_score_neu,comment_score_neg,whisper,whisper_sentiment,whisper_score_pos,whisper_score_neu,whisper_score_neg,cluster_a,cluster_v,issue,cluster_va,comment_count_0109,top_label_0109,positive_0109,neutral_0109,negative_0109,score_pos_0109,score_neu_0109,score_neg_0109
Democratic,Texas,Colin Allred,DB913i7v3EW,2024/11/4,One day left. Let’s leave it all on the field.,neutral,0.37994173,0.5796523,0.040405955,40,positive,0.65,0.2,0.15,0.657739949,0.192018688,0.150241361," I believe in a very different Texas than Ted Cruz does.  Because I never forgot where I came from.  Never forgot the folks who gave me a chance.  We're going to beat Ted Cruz.  In my Texas, we don't run to Cancun when the lights go out.  We run to help our neighbors.  But Ted Cruz has been all about himself for too long.  12 years is long enough.  We gotta make sure we send Ted Cruz packing.  And when we do, it won't be a win for me or for a party.  It'll be a win for our state.  Y'all ready?  All right, let's do it, Texas.",positive,0.55541867,0.36059415,0.08398714,Energetic & Bright,Positive & engaging,Others,Emotive & Engaging,38.0,positive,0.6842105263157895,0.1578947368421052,0.1578947368421052,0.68048818,0.1662899158947368,0.1532219018289473
Democratic,Texas,Colin Allred,DB9d61BCDJa,2024/11/4,Ted Cruz’s team is Ted Cruz. My team is Texas.,neutral,0.04805283,0.62356377,0.3283834,15,positive,0.666666667,0.2,0.133333333,0.691052843,0.142384296,0.166562858," Just since that last election where he won by two points, what has he done?  Well, he's gone to Cancun when the lights went out.  He's tried to overturn an American presidential election.  He was the architect in the Senate of that attempt.  And he hid in a supply closet when the mob came while I was ready to fight the mob.  And he's responsible for this abortion ban that we have here in Texas.  And just earlier this year, he took down the toughest border security bill in a generation  in a state that we would have benefited more from it than any other state in the country.  He's earned it.  And we're going to beat him.  And when we do, I think it's going to surprise a lot of folks around the country.  And that's OK.  I'm used to surprising people with my elections.  Nobody thought I'd win in 2018 either.  And the Texans, I think, is a place where things can happen quickly.  And we've arrived at the, I think, appropriate decision that we're time to turn the page  on Ted Cruz.",negative,0.033508446,0.25777763,0.70871395,Flat & analytical,Concerned & Empathic,Economic,Flat & Restrained,15.0,positive,0.6666666666666666,0.2,0.1333333333333333,0.6910528427333333,0.1423842957333333,0.1665628575599999
Democratic,Texas,Colin Allred,DB9LJ1OAepL,2024/11/4,"Texas women shouldn’t have to be in organ failure to get the life-saving care they need. This abortion ban is dangerous and Ted Cruz is responsible. When I’m in the Senate, we’ll codify Roe and restore reproductive freedom.",negative,0.013100125,0.1482984,0.8386015,18,positive,0.611111111,0.222222222,0.166666667,0.586930732,0.237883119,0.175186154," Texas, as you mentioned, has this draconian six-week abortion ban on the books.  ProPublica has released reports about at least two women who have died under this ban.  You've got 100 OBGYNs in the state releasing a letter saying that these deaths were preventable  and they're urging state leaders to change the abortion laws.  As senator, how would you address this very serious issue?  Well, I just want to say, you know, my wife and I have had two boys here in Dallas in the last five years.  And, you know, I cannot imagine.  And I just can't even take myself to that point of imagining how we would have felt or how I would feel.  If my wife is denied care for 40 hours, which is what happened to Jocely Barnigan.  for 40 hours while infection set in,  because a politician like Ted Cruz thought he knew better than her or her doctor.  That's how Jocely died.  In Nevaeh's case, she was an 18-year-old who had to go from her baby shower to three different emergency rooms.  The first two turned her away.  The third one, she was in organ failure.  And so they finally accepted her.  And it was too late to save her life.  We've seen that our maternal mortality rate has skyrocketed here.  But we haven't had these stories.  And so this is now an issue that we have to address.  And I'm so thankful for these OBGYNs who have come forward, for all these Texas women who have come forward.  They have made this something that cannot be ignored.  And when I'm in the Senate, we'll make sure that we go back to the same standard that we had for the last 50 years under Roe.  And that will be one that will trust Texas women and trust Texas doctors.",negative,0.009760624,0.15886952,0.8313698,Flat & analytical,Concerned & Empathic,Immigration,Flat & Restrained,18.0,positive,0.6111111111111112,0.2222222222222222,0.1666666666666666,0.5869307324444445,0.2378831191666666,0.1751861540722222
Republican,Pennsylvania,Dave McCormick,DB9u5zrSLdT,2024/11/4,"On Tuesday, Pennsylvania has a clear choice: change or the status quo.",neutral,0.07916109,0.8535153,0.06732359,1,positive,1.0,0.0,0.0,0.96429217,0.03108202,0.004625835," We gotta save America. We gotta make Pennsylvania great again. God bless you. Thank you. Thank you.  You're a big mix. You're great Americans. Thank you.  change or the status quo.  that represents Senator Bob Casey, a 30-year career politician.  He was born with a political spoon in his mouth.  Now, my mom's from Punxsutawney, so I can say I call him Punxsutawney Bob.  18 years, you never see Bob Casey, except six months before the election.  Then he gets through the election, he wins, he goes back in his home.  And your choice is for a guy that's a seven-generation Pennsylvanian,  born in Washington County.  I grew up in Bloomsburg.  I failed hay.  I trimmed Christmas trees.  I was a busboy at the McGee Hotel.  I had a paper route.  I played football.  I wrestled, and wrestling got me to West Point.  And West Point changed my life.  I went to Ranger School, 82nd Airborne Division, Combat Corps in Iraq.  is between strength, that guy you saw waving his fist saying,  fight, fight, fight, against the weakness of Biden.  and came back to Pittsburgh and helped run a company that created hundreds of jobs.  I have lived the American dream.  My wife's lived the American dream.  We know how lucky we are, and we want to make sure that American dream is available for every one of our kids.  Harris and Casey.  The choice is between",positive,0.7908714,0.18093488,0.028193746,Energetic & Bright,Angry & Confrontational,Campaign Endorsements,Emotive & Engaging,1.0,positive,1.0,0.0,0.0,0.96429217,0.03108202,0.004625835
Republican,Pennsylvania,Dave McCormick,DB9oaBwS_lF,2024/11/4,"I’m a political outsider who will challenge the status quo in Washington. 

Bob Casey is a career politician who was born with a political spoon in his mouth. 

Let’s choose change tomorrow.",neutral,0.080873735,0.60840386,0.3107224,5,neutral,0.2,0.8,0.0,0.31510194,0.650534787,0.034363255," It's the choice between an outsider.  Someone who went to West Point, co-captain of the wrestling team,  Ranger School, 82nd Airborne Division, Iraq.  run a company in Pittsburgh that created hundreds of jobs.  Someone who's a seventh generation Pennsylvanian.  Someone who grew up wrestling and playing football in towns like Chickalimmie and Chickshinney.  North Schuylkill and Sealands Grove.  My opponent was born with a political spoon in his mouth.",neutral,0.1793342,0.7777871,0.042878736,Assertive & Clear,Warm but Reserved,Voter Mobilization,Measured & Composed,5.0,neutral,0.2,0.8,0.0,0.31510194,0.6505347871,0.0343632547
Republican,Pennsylvania,Dave McCormick,DB9Mmetuw1O,2024/11/4,"The status quo has failed our commonwealth. 

Let’s make a change. 

Great to have @RobAstorino here in Pittsburgh!",positive,0.7694598,0.19434083,0.036199424,0,,,,,,,," So earlier this week, I sat down with Dave McCormick in his Pittsburgh home.  Dave, first of all, thank you for letting me come to your home.  Oh, it's great to have you here. Thank you.  So this race is really tightened up.  Kind of a jump ball right now.  Listen, I'm excited about it.  What's happened?  is that voters have really started to zero in on the choice.  And the choice...  in my race couldn't be more clear.  It's the choice between change that I'll offer versus the status quo of Bob Casey.  This guy is a 30-year elected official.  18 years in the Senate, career politician.  He's been weak.  Every time the bullets start flying, he ducks.  And he's voted 98% of the time with Biden-Harris.  So this liberal agenda, the sanctuary cities, the reckless spending, the...  Boys competing in women's sports.  Bob Casey's voted for all those.  And the contrast is with me, a guy who's a seventh generation Pennsylvanian.  someone who worked baling hay and trimming Christmas trees as a kid during the summers,  went to West Point.  I wrestled at West Point.  I was the co-captain of the team.  Ranger school.  82nd Airborne Division, combat tour in Iraq, came back to Pennsylvania and was a business guy for 25 years and ran a company here in Pennsylvania.  They created hundreds of jobs. So it's an outsider versus a career politician and change versus status quo.  And I think as people lock in on that.  The polls have started to move in my direction because people want change.",positive,0.94289553,0.05070153,0.006402914,Flat & analytical,Surprised & expressive,Economic,Subtle & Neutral,,,,,,,,
Republican,Pennsylvania,Dave McCormick,DB86UQJOsxp,2024/11/4,"Bob Casey is a career politician who has voted 98% of the time with the liberal Biden-Harris agenda. 

He is the status quo. 

Our movement represents change. 

Great to be on with @foxandfriends!",neutral,0.13549845,0.45386136,0.4106402,2,neutral,0.0,1.0,0.0,0.18771324,0.749960825,0.062325937," This is a race between change in the status quo.  In the case of me, seventh generation Pennsylvanian, someone who was born and raised here, someone who played sports here, went to West Point, 82nd Airborne Division, successful business guy and a political outsider.  Against Bob Casey, who is a 30 year elected politician, has been really a weak senator and votes 98.6 percent of the time with Biden and Harris.  And he'll be a sure vote if Harris wins. And that message is resonating.  And all the polling across the board has the race tied.  A poll came out yesterday and I'm in the lead, but I've got to close strong and the voter turnout is going to decide who wins the election and will likely decide who's the president as well.",neutral,0.27637607,0.66004455,0.06357937,Flat & analytical,Concerned & Empathic,Others,Flat & Restrained,1.0,neutral,0.0,1.0,0.0,0.14990292,0.8190563,0.031040793
Republican,Pennsylvania,Dave McCormick,DB70-iANlN9,2024/11/4,"Tonight in my hometown of Bloomsburg, I shared that I’m not running for Senate so I can stay in Washington — I’m running for Senate so I can CHANGE it.",neutral,0.13096654,0.8332545,0.035778955,4,positive,0.75,0.0,0.25,0.69358884,0.068697798,0.237713369," So I'm as lucky as can be.  The only person more surprised by my success is my dad,  who is definitely surprised.  And Dina lived the American dream.  So we want to make sure that's available for our kids.  So that's why I'm a political outsider.  That's why I have turmoil into myself.  I've already said, if you elect me, I'm going to get out after two terms.  I'm not doing this because I want to stay in Washington.  I'm doing this because I want to change Washington.",positive,0.8964334,0.08784284,0.015723731,Energetic & Bright,Warm but Reserved,Voter Mobilization,Measured & Composed,3.0,positive,1.0,0.0,0.0,0.9205439133333332,0.064602997,0.0148531016666666
Republican,Texas,Ted Cruz,DB9p1SVyuaQ,2024/11/4,"Tomorrow, patriotic Texans are going to vote to Keep Texas, Texas, and defend our way of life from the radical left’s assault.

Get out and vote!",positive,0.5202237,0.44064096,0.03913534,102,positive,0.62745098,0.176470588,0.196078431,0.605416297,0.213901586,0.180682116," Election day is tomorrow.  After an interminable two-year campaign,  all the ads, all the attacks, all the noise,  it's all going to be over tomorrow.  Here in Texas.  We need to turn out in big numbers.  Come out tomorrow if you haven't voted yet.  Vote for Donald Trump.  Vote for me.  And vote for Republicans up and down the ticket.  Look, Texas is under assault.  The radical left, they want to take our state.  Chuck Schumer has named me the number one target in the entire country.  Well, I got a message for you, Chuck.  Come and take it.  You can't have Texas.  We're going to show up in big, big numbers.  So tomorrow on election day, come out and vote and bring somebody else with you.  Bring your brother.  Bring your son.  Bring your next door neighbor.  Bring your co-worker.  Bring anybody you can.  We need to show up in big numbers.  We need to fight.  Keep Texas, Texas.",positive,0.48383492,0.4019565,0.11420859,Neutral & restrained,Flat & Neutral,Others,Subtle & Neutral,98.0,positive,0.6530612244897959,0.1428571428571428,0.2040816326530612,0.6209221227653061,0.1948418407959183,0.1842360361846939
Republican,Texas,Ted Cruz,DB9JS3JRgCx,2024/11/4,"Colin Allred is Kamala Harris.

They are both hard-left, open-border, and anti-Israel radicals.

They are both getting millions of dollars from George Soros to run ads covering up their records.

Get the truth about Colin Allred at crazy-colin.com",negative,0.015672062,0.30814135,0.67618656,62,positive,0.451612903,0.241935484,0.306451613,0.457136614,0.267515741,0.275347647," And Kamala Harris's voting record is virtually identical to my opponent, Colin Allred.  Colin Allred is Kamala Harris.  They are both hard left, open border, anti-Israel radicals who are desperately trying to cover up their record.  They're hiding in Joe Biden's basement together.  And they're counting on millions and millions of dollars from George Soros to try to convince the American people their voting record is different than it was.  By the way, Kamala's message in Pennsylvania, she actually meant it.  You ought to ask yourself, why didn't she pick Josh Shapiro as her VP?  And the answer is, in today's Democrat Party, they could not stomach a candidate who was Jewish.  Shapiro might well have won the state of Pennsylvania for her.  But the pro-Hamas wing of the Democrat Party could not imagine, could not tolerate such a thing.  Wow. All right, Senator, we'll be watching your work and certainly this race.  Thank you so much for joining us this morning.",negative,0.029153844,0.24092369,0.72992253,Neutral & restrained,Flat & Neutral,Economic,Subtle & Neutral,58.0,positive,0.4827586206896552,0.1896551724137931,0.3275862068965517,0.4731099278793103,0.2390088718103448,0.287881203637931
