date,name,keycode,party,state,text,text_matched_roots,text_num_matched_roots,text_num_words,text_root_ratio,caption,caption_matched_roots,caption_num_matched_roots,caption_num_words,caption_root_ratio,elite,centr,left,right,text_populism,elite_cap,centr_cap,left_cap,right_cap,cap_populism,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
2024/10/1,Dave McCormick,DAj-oZvtm45,Republican,Pennsylvania,"Pennsylvania wrestling taught me to do the hard thing.  There's no place to hide.  Hard work, hard choices.  The career politicians don't do the hard work.  That's why I approve this message.  the Pennsylvania way. That's not what we get from Washington.  They're selfish and soft.  I'm running for the Senate to make the hard calls.  Sometimes it's all you can take.  On the wrestling mat,",['politici*'],1,66,0.015151515,"I’m proud to be a member of Pennsylvania’s awesome wrestling community. 

I’ll take the grit and strength I learned wrestling on mats across the commonwealth to Washington as PA’s next Senator.",[],0,31,0.0,0.97758377,0.39712536,0.017765157,0.1179439,elite,0.002133847,0.25962493,0.008658958,0.0017827367,none,1,66,32.02,23.94,20.79,6.9,6,18.18,89.39,69.7,53.03,18.18,9.09,4.55,1.52,1.52,0,1.52,9.09,18.18,10.61,0,9.09,15.15,3.03,1.52,4.55,24.24,7.58,1.52,12.12,1.52,6.06,4.55,22.73,3.03,9.09,1.52,3.03,1.52,1.52,0,1.52,0,1.52,0,1.52,0,0,0,0,0,0,0,7.58,3.03,0,0,0,1.52,1.52,4.55,0,0,0,0,3.03,3.03,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,1.52,0,7.58,13.64,0,1.52,4.55,1.52,0,6.06,1.52,1.52,12.12,0,0,0,0,0,0,28.79,15.15,3.03,0,0,10.61,0,0
2024/10/1,Kari Lake,DAkC7pMNJmk,Republican,Arizona,"and a knee surgery.  forced out of their homes for small debt.  You know, they've worked hard their whole life.  They've fallen on hard times.  As we heard here, Bruce had suffered a health setback with a stroke.  and they can't keep up with the property tax.  is to have a bunch of Americans fall into homelessness.  that's what we have to do.  We need to give a little bit of a security blanket  for a short period of time to help them out.  I want to thank you all for being here.  I know you all have deadlines to meet.  We appreciate you.  If you want to talk to some of these people,  I'm sure they're willing to chat with you a little bit.  Thank you very much.  Please consider to do fair coverage  for the next several weeks,  40-plus days as we go into this election.  It would be greatly appreciated by the people of Arizona.  We'll have to look at that, and I haven't looked at that,  but we're talking about people who are being...  If they were in a home, if that were the same situation, they were in a home, they paid their home, they probably own their home by now.  Do we get everybody?  We have one more.  Did you already have a question?  this incredible couple to suffer the way they are.  And now, you know,  What we don't want to see happening between now and getting our country back on track,  which I think will happen quickly, between now and getting this country back on track.  We can't afford to let these amazing people fall into homelessness because they've done nothing wrong.  It has been absolute terrible policy that has caused...",[],0,289,0.0,"Bruce & Michelle have worked hard their whole lives. They've fallen on hard times. Bruce had suffered a health setback with a stroke & knee surgery & can't work.

Now, they're on the verge of being forced out of their homes over a small debt.

This kind of policy is a good way to make our homeless crisis even worse.

We can afford to give seniors like Bruce & Michelle a security blanket until they get back on their feet.",[],0,80,0.0,0.029560164,0.9691028,0.6992623,0.015457194,centr,0.50265014,0.98318636,0.9056857,0.030250665,centr,1,289,35.52,97.93,63.84,52.28,11.56,13.49,95.5,80.62,61.59,20.07,14.53,1.73,4.15,3.11,0,5.19,5.54,13.49,5.54,0.69,16.26,13.15,3.81,4.5,1.73,24.22,6.92,6.23,6.92,4.84,0.35,1.73,24.22,1.38,9.34,2.77,1.04,2.42,1.73,0,3.11,0,4.84,3.46,1.38,2.08,1.04,1.04,0,0,0,0,20.07,4.5,2.08,1.04,0,0.35,2.08,14.53,0,0,0,0,0.35,0.35,0,0,3.46,0,1.73,0.69,1.04,0,1.04,0.69,0.35,0,0,0,0,0,0,1.73,1.04,1.04,0.69,0,0,0,0.35,0,12.46,11.07,0.35,1.38,9,1.04,0.35,0.69,4.5,6.23,5.88,2.08,0,0,0,0,0,19.38,9.34,4.84,0.69,0,4.15,0.35,0
2024/10/1,Sherrod Brown,DAkDv_ztlm_,Democratic,Ohio,"I don't see politics so much as left or right.  It's whose side you are.  I talk about the dignity of work.  If you work hard, you ought to be able to get ahead.  Bernie Marino stiffed his employees.  He then destroyed the evidence that the judge required of him.  So just like abortion rights, I support the voters of Ohio, 57 percent.  I joined them, of course, in abortion rights.  And Bernie Marino wants 100 percent.  He said I'm 100 percent pro-life.  No exceptions.  He wants a national abortion ban.  More money spent against me than any race in the country.  And there's a lot more of us than there are of them.  But they've got a whole lot of money.  I'm not complaining.  I just know we have to fight back.",[],0,133,0.0,This race is about whose side you’re on. I will always be on the side of Ohioans.,[],0,17,0.0,0.95332414,0.65064293,0.33376762,0.024455024,elite,0.021015385,0.978226,0.017145334,0.08954306,none,1,133,30.44,44.51,33.61,3.61,7.82,15.04,92.48,69.17,57.14,18.05,16.54,6.02,1.5,2.26,3.76,2.26,1.5,12.78,6.02,2.26,13.53,8.27,6.02,8.27,2.26,15.79,4.51,6.77,9.77,2.26,3.76,3.76,20.3,0.75,12.03,1.5,0,2.26,2.26,1.5,6.02,0,6.77,2.26,4.51,0.75,0,0.75,0,0,0,0,17.29,5.26,0.75,0,1.5,1.5,2.26,11.28,0,0,0,3.76,0.75,0.75,0,0,4.51,0,0,2.26,2.26,0,2.26,2.26,0,0,0,0,2.26,0,0,2.26,1.5,0.75,0,0,0,0,0,0,9.02,9.02,0,0,7.52,0.75,0,0.75,0.75,3.01,6.77,3.01,0,0,0,0,0,21.8,12.78,3.76,0,0,4.51,0.75,0
2024/10/1,Kari Lake,DAkFBK1oFeg,Republican,Arizona,"churn out more, churn out more war, spend trillions of dollars more for war.  And it's not going to end until we get somebody who actually wants to negotiate peace.  The Uniparty in Washington, D.C. does not want peace.  There's a lot to cut. You know, one of the things I want to do is stop spending  $260 billion, sending money like that over to...  Anybody else who didn't ask a question?  Ma'am, who are you and who are you with?  You know, when our government is continuing to start wars, they just want to throw trillions of dollars.  Their whole plan is we can get the war machine going.  or face the fact of your job going away.  They want war.  And President Trump knows how to negotiate peace.  And that's going to save us a lot of money.  We're not going to continue to pour money into countries and start up wars.  So we're going to look at the budget.  There's a ton that we can cut.  And we need to cut back the size of Washington, D.C.  Basically, anybody in Washington, D.C. who has not come back to work since COVID,  and you'd be surprised a lot of people haven't come back to work since COVID,  you're pretty much telling us, coming into this administration, coming into D.C.,  that your job is not really needed.  So get your butt back to work.",[],0,235,0.0,"The Uniparty doesn't want peace. They want war. 

President Trump knows how to negotiate peace. That's going to save us a lot of money and a lot of lives.

Like Trump, my priority in Washington DC will be helping to feed the American family, not the war machine.",[],0,48,0.0,0.9918623,0.03678767,0.009067138,0.2591655,elite,0.8288989,0.9172291,0.023672676,0.32403287,elite,1,239,49.46,97.06,46.03,8.51,11.38,11.72,90.79,69.46,55.65,15.48,11.3,0.42,3.77,3.77,0,1.26,4.18,12.55,4.6,2.09,16.74,9.21,4.6,5.86,2.93,22.59,2.93,6.69,10.04,3.77,1.67,4.6,21.76,0,13.81,2.51,1.26,3.77,3.35,1.26,3.35,0,4.18,1.26,2.51,0.42,0,0,0,0,0,0,15.48,2.51,0,0.42,0,0,2.09,13.39,0,0,0.42,0,1.26,0.84,0,0.42,6.69,0,0,3.35,3.35,0,1.67,0.84,0.84,0,0,0,0,0,0,0.84,2.09,1.26,0,0,0,0,0.42,0.42,12.13,10.46,0.84,2.93,8.37,0.42,0,0,3.77,0.84,7.95,5.02,0,0,0,0,0,23.43,10.88,6.69,0.84,0,4.6,0.42,0
2024/10/1,Kari Lake,DAkFH3XNAPd,Republican,Arizona,"But again, we're hoping to get this election for President Trump to get elected.  We're hoping to get our economy turned around.  to help pay down the mortgage rate.  And that'll actually...  That doesn't really help if you think about it.  Because if everyone gets down payment assistance like Kamala Harris wants to get,  if he gives everybody here $25,000 for down payment assistance, like I said,  everybody selling a house just says, well.  Well, we do that.  We cut back and we keep President Trump's tax cuts,  which Ruben Gallego wants to raise.  That's going to put more money in your pocket.  And we're going to go beyond just keeping the current Trump tax cuts.  We want to go even further than that.  But if Ruben Gallego gets in there,  he's already said he's going to get rid of the Trump tax cuts.  On average.  How many of you can right now afford $2,700 more a year  on top of everything we're dealing with?  payment harder to pay for. And when your monthly payment is $2,600, you can't buy as much house.  So we want to work, once you make the deal with the house that you want to buy...  end up helping you to pay less each month and over the course of the loan to pay a lot less.  And that will give you more money in your pocket.  Everyone's got $25,000 more.  Let's raise the price $25,000.  So I think a better plan, and I think economists looking at this think a better plan,  is working on rate buy-downs because this is the real culprit right here.  This is what makes your monthly...  One more or no?  Anybody?  Okay, sir.  If you want to talk about homes, how we're going to help young people who want to get into a home.  If you work to save a little bit for down payment, a lot of times you'll hear, oh, we're going to do down payment assistance.  This is a nightmare scenario if these guys get elected again.  to take that money instead of giving it for a down payment.  $2,700 more for the average family.  We need to wrap.",[],0,363,0.0,"A way to bring down the cost of housing is rate buy-downs. Once you make the deal on your house, we want to make sure that money goes to help you pay less each month & throughout the process.

That will give you more money in your pocket. 

In addition to that, we're going to keep President Trump's tax cuts and expand them.

These are just two ways of making life more affordable.",[],0,73,0.0,0.08907766,0.0155996755,0.004590699,0.0025983243,none,0.002136833,0.04769192,0.0127367675,0.0021131297,none,1,363,56.74,96.87,27.81,67.94,11.34,12.95,93.94,73.83,55.65,16.25,9.64,0.83,3.86,3.86,0.83,0,6.61,14.88,5.51,2.2,16.53,6.06,6.61,6.61,0.83,19.83,6.61,6.34,8.82,5.23,1.93,1.65,23.42,1.65,11.57,2.2,1.65,3.31,3.58,1.1,3.86,0,3.58,3.31,0.28,0.55,0.55,0,0,0,0,0,15.15,3.58,1.93,0.28,0,0,1.1,11.85,0.28,0,0,1.38,1.38,1.38,0,0,9.92,0,1.65,1.38,7.16,0,0,0,0,0,0,0,0,0,0,0.28,2.48,3.86,0,0,0,0,0.28,0,11.85,8.26,0,1.65,6.61,0.28,0.28,0,3.86,1.1,7.44,5.23,0.55,0,0.28,0.28,0,23.14,9.64,6.34,0.83,0,4.41,1.93,0
2024/10/1,Colin Allred,DAkGGdkIvKF,Democratic,Texas,"I'm so glad to be with you at the launch of the AAPI Texans for All Red.  I'm a proud associate member of the Congressional Asian Pacific American Caucus in Congress.  I'll fight for the state that I know we are, the state that I know that we can be.  For every Texan, make sure that you have a chance to realize your version of the American dream.  Let's go win.",[],0,71,0.0,It’s an honor to have the support of all these great Texans and their help launching the AAPI for Allred coalition! Together we’re building the movement that will take down Ted Cruz.,[],0,32,0.0,0.0038275276,0.95831394,0.46472305,0.026573721,centr,0.008063132,0.9334185,0.0080929445,0.013983494,centr,1,71,69.43,89.11,41.26,64.63,14.2,11.27,91.55,70.42,59.15,21.13,15.49,7.04,4.23,4.23,0,0,5.63,21.13,11.27,0,15.49,12.68,1.41,1.41,0,19.72,4.23,2.82,14.08,7.04,2.82,4.23,18.31,2.82,8.45,4.23,0,1.41,1.41,0,1.41,0,5.63,4.23,1.41,2.82,2.82,0,0,0,0,0,11.27,1.41,0,0,1.41,0,0,9.86,0,0,0,0,8.45,4.23,4.23,0,2.82,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,7.04,8.45,2.82,2.82,2.82,1.41,0,0,0,0,8.45,4.23,0,0,0,0,0,15.49,7.04,2.82,0,0,5.63,0,0
2024/10/1,Kari Lake,DAkHrGnJT3v,Republican,Arizona,"I know from living in a border state did more than anybody.  our economy at times when we have  and we have to rework the asylum laws.  You know, just because you've got crime in your country  doesn't mean you get to come into our country.  And then we can work on...  I think you all know what that means, cover your ass.  That's what she did.  And it was just absurd.  That legislation is not good legislation.  It was really, as I've said before, they called it a border bill,  but it was really a how can we get more money to our friend Zelensky bill.  And it was, I think, $115 billion to send overseas to kill people.  And when they finally separated it out, I remember Ruben Gallego voting for $60 billion more to Ukraine.  And then after that vote passed, waving around the Ukrainian flag on the floor of Congress.  Why would you ever wave the flag of another country around on the floor?  And it was an attack of President Trump who.  What world are we living in?  so many jobs we can't fill them, then we look to bringing more people who are qualified in  who are going to help us and not be a drain on our social services.  At times when jobs are scarce and Americans are out of work, no,  we don't bring people in and give them Americans jobs.  Under these two buffoons, we have watched as every job loss under these two buffoons has been  at the hands, has been a job loss for American born citizens.  And under these two buffoons, every job gained has gone to foreign-born citizens.  They are America last.  realizing not only is she a master in word salad, she's a master chef in word salad.  It just, I've never heard someone doing a CYA like that.  Listening to her.  Congress.  They are 100% America last, and we need to vote these people out for the sake of our children and our future,  and for the sake of all of you young people in the media.  I sat there.  on our immigration law, which I do think we need to revise.  And it should be based on...  And we're not allowing people in illegally.  because they don't like you. They're using you right now to tell their story.  And the minute they get in office, they could care less about you guys.  He voted for that.  This bill is not a good bill.  It codifies into law, allowing 5 million people here illegally.  We can't handle 5 million people coming in illegally.  They want to make them permanent citizens, permanent voters for the disastrous plans of the Democrats.  And so absolutely not.  We need to start over with a decent piece of legislation that includes fully funding the border wall.  Any piece of legislation that doesn't fund the border wall is a non-starter.  We must have a border wall.  But obviously her consultants wrote on her prompter what she was supposed to say on her teleprompter.  that I can ever remember in my entire time here since 1994 to secure our border.",[],0,528,0.0,"At a time when jobs are scarce & Americans are out of work, We shouldn't be bringing people in illegally & giving them jobs. 

Under this administration, every job loss has been for American-born citizens. And every job gain has gone to foreign-born citizens. 

Harris & Gallego are America Last.

We need to vote them out for the sake of our children & our future.",[],0,65,0.0,0.9943146,0.23258425,0.053313743,0.9789524,elite,0.9552101,0.95905584,0.15801595,0.9812377,elite,1,528,28.5,96.39,47.7,4.99,12.28,12.88,93.56,72.73,60.98,19.32,13.26,1.89,4.55,2.08,1.7,2.46,6.06,14.2,5.11,2.46,14.58,9.85,5.11,6.82,2.65,19.13,3.22,4.36,8.9,5.11,0.95,2.84,23.67,1.52,11.17,2.46,1.89,3.03,0.57,1.33,2.65,0.38,3.41,0.38,2.27,0.95,0.95,0,0,0,0,0.76,19.89,4.17,0.38,0,0.38,0.95,1.52,14.96,0.38,0.19,1.52,0.38,3.41,3.03,0.38,0,3.79,0,0,3.03,0.76,0,1.52,0,0,0,0,0,0,0.57,0.19,0.95,0.19,0.95,0.19,0.38,0,0.19,0.57,0,8.71,10.98,0.38,1.52,9.09,0.38,0.38,0,4.92,5.11,5.87,1.52,0.19,0,0.19,0,0,16.67,8.52,4.36,0.38,0,2.46,0.95,0
2024/10/1,Bob Casey,DAllv4PMhTV,Democratic,Pennsylvania,"Alright, just the bald people in the picture please.  I was 22 years old then.  Well, I'm going to stand over here for good luck.  This is the epicenter right here.  Get magical powers.  Thank you.  Very good.  Very official.  Good to see you.  I need some work on my jump set.  I'll come to a tutorial.  We got some warmups.  How are you?  Good to see you.  And we're going.  Yes, sure.  Everybody get a picture.  We're going to face the camera over here.  Okay.  Is that a mic?  It's a mic, yeah.  ?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????  Thank you.  Casey was in Obama's game, I wrote a Sousa book.  Oh my god, look at Casey!  I think I'm done.  How are you?  Now, what's your name?",[],0,124,0.0,"Investing in our young people is investing in our future.

Projects like the Alan Horowitz “Sixth Man” Center in North Philly are a great start.",[],0,25,0.0,0.023683516,0.002601742,0.00247567,0.004116801,none,0.001818176,0.10128329,0.006268352,0.002151284,none,1,123,27.64,92.81,75.67,98.92,4.56,7.32,92.68,74.8,54.47,19.51,15.45,7.32,2.44,5.69,0,0,4.07,13.01,7.32,0.81,9.76,11.38,8.94,1.63,0,24.39,6.5,2.44,4.88,2.44,0.81,1.63,19.51,1.63,3.25,2.44,1.63,0.81,0,0,0,0,7.32,7.32,0,3.25,3.25,0,0,0,0,0,13.82,3.25,2.44,2.44,0,0,2.44,10.57,0,0,0,0,0,0,0,0,4.07,0.81,0,2.44,0,0.81,1.63,0,0,0,0,0,0,0,0,0.81,0,2.44,0,0,0,0,0.81,0,18.7,13.82,0.81,2.44,7.32,4.07,0,0.81,3.25,3.25,8.94,4.88,4.07,0,3.25,0.81,0,395.93,17.89,5.69,365.04,0.81,6.5,0,0
2024/10/1,Mike Rogers,DAloj-WPbwa,Republican,Michigan,"I'm Mike Rogers, and I approve this message.  I'm Mike Rogers, Slotkins for EV mandates.  I'm for Michigan.  I worked in a car factory.  These jobs are important to our families.  That's why I stood up to China and my own party.",[],0,42,0.0,"Slotkin’s for EV mandates.

I’m for Michigan. 

The difference couldn’t be more clear — Congresswoman Slotkin is in Communist China’s pocket, I’ll have your back.",[],0,25,0.0,0.005200295,0.7646912,0.053820323,0.00520385,centr,0.9912889,0.102207534,0.05186789,0.9865594,none,1,42,18.12,4.61,84.92,88.66,7,19.05,80.95,61.9,52.38,26.19,19.05,16.67,2.38,0,0,0,7.14,14.29,2.38,0,14.29,11.9,2.38,4.76,0,19.05,2.38,0,14.29,7.14,2.38,4.76,16.67,0,2.38,0,2.38,0,0,0,0,0,4.76,4.76,0,0,0,0,0,0,0,0,9.52,4.76,0,0,0,0,2.38,4.76,2.38,0,0,0,4.76,2.38,0,2.38,9.52,2.38,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0,4.76,11.9,0,0,0,0,0,0,28.57,14.29,4.76,0,0,9.52,0,0
2024/10/1,Kari Lake,DAlxK0VM5tn,Republican,Arizona,"Well, from what I've heard, but unfortunately, the buffoons behind me have sold it off.  Even though we paid for it with our hard-earned tax money, they sold it off for pennies on the dollar.  So I'm assuming that is included because I read that they sold all of it.  So they sold it to somebody.  But, you know, my plan as governor, and you probably know this, was the most bold, aggressive plan to have the state secure their own border.  We're under an evasion right now in Article I, Section 10, Clause 3 allows for the states to secure their own border.  We plan to start building and constructing a wall without Joe Biden, and the borders are Kamala Harris' help.  So that's something we could do.  The Constitution would approve of that and would allow that, and we should be securing our own border for the next few months until we can get President Trump in the White House and a majority in the Senate and actually help truly secure our border by building the wall.  So we're going to build.  We're going to make sure we have the money for it.  The cheapest way to secure our border is to build that wall, and it can be done, and it will be done starting in January 2025.  Thank you guys so much for being here.  Sorry I made you wait in the heat, and thank you for covering this story.  I appreciate it.  Cochise County?  Yeah, Cochise.  Okay.",[],0,252,0.0,"The cheapest and most effective way to secure our border is to fully fund and finish the southern border wall.

It can be done, and it will be done starting in January 2025.

President Trump and Senator Kari Lake will make sure of it.

karilake.com/donate",[],0,45,0.0,0.992679,0.011615868,0.10159286,0.0645348,elite,0.009257017,0.008372044,0.0027180393,0.0046811737,none,1,252,25.13,94.51,36.85,50.71,14,13.1,92.06,73.02,60.71,20.24,12.3,3.17,5.16,1.98,0,1.98,7.94,14.29,6.75,1.19,13.1,10.71,5.95,8.33,0,19.05,3.97,3.17,11.11,5.95,1.19,3.97,20.63,0.4,10.32,2.78,1.59,2.38,1.59,0.79,1.59,0,3.97,2.78,0.79,0.79,0.4,0.4,0,0.4,0,0.4,14.68,4.37,2.38,0.79,0.4,0.4,1.19,10.32,0,0,0,0.4,1.19,1.19,0,0,4.76,0,0.4,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,2.38,0,6.35,9.92,0.79,0.4,7.54,0.4,0.4,0.4,3.17,4.76,4.37,3.97,0.79,0,0.79,0,0,17.06,6.75,6.75,0.4,0,2.78,0.4,0
