text_eng,text,id,username,elite,centr,left,right
"Your arbitrary compilation and listing of old demands shows that you are not willing to make a responsible and socially acceptable contribution to animal welfare in Germany, but rather that you want to stir up emotions.","Ihre willkürliche Zusammenstellung und Auflistung alter Forderungen zeigt, dass Sie nicht willens sind, einen verantwortlichen und gesellschaftlich akzeptierbaren Beitrag zum Tierschutz in Deutschland zu leisten, sondern dass Sie Emotionen schüren wollen.",446633,riedel,True,False,False,False
"Your arbitrary compilation and listing of old demands shows that you are not willing to make a responsible and socially acceptable contribution to animal welfare in Germany, but rather that you want to stir up emotions.","Ihre willkürliche Zusammenstellung und Auflistung alter Forderungen zeigt, dass Sie nicht willens sind, einen verantwortlichen und gesellschaftlich akzeptierbaren Beitrag zum Tierschutz in Deutschland zu leisten, sondern dass Sie Emotionen schüren wollen.",446633,richter,False,False,False,False
"Your arbitrary compilation and listing of old demands shows that you are not willing to make a responsible and socially acceptable contribution to animal welfare in Germany, but rather that you want to stir up emotions.","Ihre willkürliche Zusammenstellung und Auflistung alter Forderungen zeigt, dass Sie nicht willens sind, einen verantwortlichen und gesellschaftlich akzeptierbaren Beitrag zum Tierschutz in Deutschland zu leisten, sondern dass Sie Emotionen schüren wollen.",446633,grabsch,False,False,False,False
"Your arbitrary compilation and listing of old demands shows that you are not willing to make a responsible and socially acceptable contribution to animal welfare in Germany, but rather that you want to stir up emotions.","Ihre willkürliche Zusammenstellung und Auflistung alter Forderungen zeigt, dass Sie nicht willens sind, einen verantwortlichen und gesellschaftlich akzeptierbaren Beitrag zum Tierschutz in Deutschland zu leisten, sondern dass Sie Emotionen schüren wollen.",446633,coudry,False,False,False,False
"Your arbitrary compilation and listing of old demands shows that you are not willing to make a responsible and socially acceptable contribution to animal welfare in Germany, but rather that you want to stir up emotions.","Ihre willkürliche Zusammenstellung und Auflistung alter Forderungen zeigt, dass Sie nicht willens sind, einen verantwortlichen und gesellschaftlich akzeptierbaren Beitrag zum Tierschutz in Deutschland zu leisten, sondern dass Sie Emotionen schüren wollen.",446633,schadt,False,False,False,False
"A heartfelt thank you to these colleagues, the committee staff, and all the citizens who actively contribute to our common good.","Einen ganz herzlichen Dank an diese Kolleginnen und Kollegen, an die Mitarbeiter des Ausschusses und alle Bürgerinnen und Bürger, die sich aktiv für unser Gemeinwohl einsetzen.",119028,schadt,False,False,False,False
"A heartfelt thank you to these colleagues, the committee staff, and all the citizens who actively contribute to our common good.","Einen ganz herzlichen Dank an diese Kolleginnen und Kollegen, an die Mitarbeiter des Ausschusses und alle Bürgerinnen und Bürger, die sich aktiv für unser Gemeinwohl einsetzen.",119028,coudry,False,False,False,False
"A heartfelt thank you to these colleagues, the committee staff, and all the citizens who actively contribute to our common good.","Einen ganz herzlichen Dank an diese Kolleginnen und Kollegen, an die Mitarbeiter des Ausschusses und alle Bürgerinnen und Bürger, die sich aktiv für unser Gemeinwohl einsetzen.",119028,grabsch,False,False,False,False
"A heartfelt thank you to these colleagues, the committee staff, and all the citizens who actively contribute to our common good.","Einen ganz herzlichen Dank an diese Kolleginnen und Kollegen, an die Mitarbeiter des Ausschusses und alle Bürgerinnen und Bürger, die sich aktiv für unser Gemeinwohl einsetzen.",119028,richter,False,True,False,False
"A heartfelt thank you to these colleagues, the committee staff, and all the citizens who actively contribute to our common good.","Einen ganz herzlichen Dank an diese Kolleginnen und Kollegen, an die Mitarbeiter des Ausschusses und alle Bürgerinnen und Bürger, die sich aktiv für unser Gemeinwohl einsetzen.",119028,riedel,False,False,False,False
"In the 70th year of our liberal democracy and 30 years after the peaceful revolution in the former GDR, our place today is on the side of the citizens of Venezuela.",Im 70. Jahr unserer freiheitlichen Demokratie und 30 Jahre nach der friedlichen Revolution in der ehemaligen DDR ist unser Platz heute auf der Seite der Bürgerinnen und Bürger Venezuelas.,1112782,riedel,False,False,False,False
"In the 70th year of our liberal democracy and 30 years after the peaceful revolution in the former GDR, our place today is on the side of the citizens of Venezuela.",Im 70. Jahr unserer freiheitlichen Demokratie und 30 Jahre nach der friedlichen Revolution in der ehemaligen DDR ist unser Platz heute auf der Seite der Bürgerinnen und Bürger Venezuelas.,1112782,coudry,False,False,False,False
"In the 70th year of our liberal democracy and 30 years after the peaceful revolution in the former GDR, our place today is on the side of the citizens of Venezuela.",Im 70. Jahr unserer freiheitlichen Demokratie und 30 Jahre nach der friedlichen Revolution in der ehemaligen DDR ist unser Platz heute auf der Seite der Bürgerinnen und Bürger Venezuelas.,1112782,schadt,False,False,False,False
"In the 70th year of our liberal democracy and 30 years after the peaceful revolution in the former GDR, our place today is on the side of the citizens of Venezuela.",Im 70. Jahr unserer freiheitlichen Demokratie und 30 Jahre nach der friedlichen Revolution in der ehemaligen DDR ist unser Platz heute auf der Seite der Bürgerinnen und Bürger Venezuelas.,1112782,grabsch,False,False,False,False
"In the 70th year of our liberal democracy and 30 years after the peaceful revolution in the former GDR, our place today is on the side of the citizens of Venezuela.",Im 70. Jahr unserer freiheitlichen Demokratie und 30 Jahre nach der friedlichen Revolution in der ehemaligen DDR ist unser Platz heute auf der Seite der Bürgerinnen und Bürger Venezuelas.,1112782,richter,False,False,False,False
"The German forest is dying, and agriculture is also suffering from heat and water shortages.","Der deutsche Wald stirbt, und auch die Landwirtschaft ächzt unter Hitze und Wassermangel.",1229841,schadt,False,False,False,False
"The German forest is dying, and agriculture is also suffering from heat and water shortages.","Der deutsche Wald stirbt, und auch die Landwirtschaft ächzt unter Hitze und Wassermangel.",1229841,coudry,False,False,False,False
"The German forest is dying, and agriculture is also suffering from heat and water shortages.","Der deutsche Wald stirbt, und auch die Landwirtschaft ächzt unter Hitze und Wassermangel.",1229841,grabsch,False,False,False,False
"The German forest is dying, and agriculture is also suffering from heat and water shortages.","Der deutsche Wald stirbt, und auch die Landwirtschaft ächzt unter Hitze und Wassermangel.",1229841,richter,False,False,False,False
"The German forest is dying, and agriculture is also suffering from heat and water shortages.","Der deutsche Wald stirbt, und auch die Landwirtschaft ächzt unter Hitze und Wassermangel.",1229841,riedel,False,False,False,False
This budget is so lacking in vision.,Dieser Haushalt ist so wenig visionär.,1210701,schadt,False,False,False,False
This budget is so lacking in vision.,Dieser Haushalt ist so wenig visionär.,1210701,coudry,False,False,False,False
This budget is so lacking in vision.,Dieser Haushalt ist so wenig visionär.,1210701,grabsch,False,False,False,False
